▁the ▁traffic ▁was ▁heavy ▁so ▁i ▁was ▁late ▁for ▁the ▁meeting .	▁ke m ac et an n ya ▁par a h ▁se k al i , ▁a k ib at n ya ▁a k u ▁ter l am b at ▁d at ang ▁ke ▁rap at .
▁i ' m ▁ready ▁for ▁tomorrow .	▁a k u ▁su da h ▁si ap ▁unt uk ▁bes o k .
▁which ▁is ▁correct ?	▁y ang ▁man aka h ▁y ang ▁ben ar ?
▁what ▁actually ▁happened ?	▁ap a ▁y ang ▁se b en arn ya ▁ter j ad i ?
▁she ▁was ▁born ▁in ▁america .	▁di a ▁la h ir ▁di ▁am er ik a .
▁tom ▁is ▁a ▁spoiled ▁child .	▁tom ▁ad al a h ▁an ak ▁y ang ▁man j a .
▁it ' s ▁red .	▁warn any a ▁m era h .
▁how ▁late ▁is ▁it ?	▁su da h ▁ter l am b at ▁b er ap a ▁l am aka h ?
▁this ▁is ▁never ▁going ▁to ▁end .	▁in i ▁tid ak ▁a k an ▁per na h ▁b er ak h ir .
▁i ▁can ' t ▁hear .	▁say a ▁tid ak ▁b isa ▁m end en gar .
▁i ▁gave ▁it ▁back .	▁a k u ▁men ge mb al ik an n ya .
▁i ' m ▁so ▁hungry .	▁a k u ▁sang at ▁l ap ar .
▁are ▁you ▁sad ?	▁ap aka h ▁k am u ▁s edi h ?
▁tokyo ▁is ▁the ▁capital ▁of ▁japan .	▁tokyo ▁ad al a h ▁i bu ▁k ot a ▁j ep ang .
▁i ▁want ▁to ▁be ▁an ▁actress .	▁say a ▁in g in ▁men j ad i ▁a k t r is .
▁i ▁see .	▁a k u ▁me l i hat .
▁your ▁answer ▁is ▁correct .	▁j aw ab an ▁k al ian ▁ben ar .
▁i ▁wonder ▁what ▁made ▁tom ▁think ▁that ▁mary ▁was ▁the ▁one ▁who ▁did ▁that ?	▁a k u ▁pen as ar an ▁ap a ▁y ang ▁me mb u at ▁tom ▁b erp ik ir ▁k al a u ▁mary ▁y ang ▁me l ak uk an ▁ha l ▁it u ?
▁he ▁wishes ▁to ▁become ▁a ▁doctor .	▁di a ▁in g in ▁men j ad i ▁do k ter .
▁tom ▁is ▁in ▁australia ▁this ▁year .	▁tom ▁b er ad a ▁di ▁australia ▁ta h un ▁in i .
▁what ▁have ▁you ▁been ▁doing ▁this ▁week ?	▁ap a ▁sa j a ▁y ang ▁su da h ▁k am u ▁la k uk an ▁ming g u ▁in i ?
▁eat ▁slowly .	▁m ak an ▁p el an - p el an .
▁don ' t ▁forget ▁to ▁answer ▁his ▁letter .	▁j ang an ▁l up a ▁me mb alas ▁sur at n ya .
▁keep ▁all ▁medicines ▁out ▁of ▁reach ▁of ▁children .	▁j a u h k an ▁ob at - o b at an ▁d ar i ▁j ang ka uan ▁an ak - an ak .
▁what ' ll ▁you ▁drink ?	▁k am u ▁ma u ▁min um ▁ap a ?
▁do ▁what ▁you ▁think ▁is ▁right .	▁la k uk an ▁ap a ▁y ang ▁k am u ▁p ik ir ▁ben ar .
▁tom ▁closed ▁the ▁drawer .	▁tom ▁men ut up ▁l ac in ya .
▁there ▁are ▁many ▁hotels ▁in ▁this ▁area .	▁ad a ▁ban y ak ▁hotel ▁di ▁da era h ▁in i .
▁i ▁lived ▁in ▁boston ▁until ▁last ▁year .	▁a k u ▁t ing g al ▁di ▁boston ▁s amp ai ▁ta h un ▁l al u .
▁just ▁do ▁it .	▁la k uk an ▁sa j a .
▁i ▁know ▁i ▁was ▁wrong .	▁a k u ▁ta h u ▁a k u ▁sal a h .
▁the ▁sky ▁is ▁getting ▁dark .	▁l ang it n ya ▁se m ak in ▁g el ap .
▁learning ▁english ▁is ▁hard ▁work .	▁bel a j ar ▁ba ha s a ▁in gg r is ▁ad al a h ▁k er j a ▁k eras .
▁he ▁doesn ' t ▁know ▁the ▁truth ▁yet .	▁di a ▁bel um ▁ta h u ▁ke b en ar an n ya .
▁left ▁alone , ▁the ▁baby ▁began ▁to ▁cry .	▁t ing g al k an ▁send i ri , ▁b ay i ▁it u ▁m ul ai ▁men ang is .
▁bananas ▁are ▁yellow .	▁p is ang ▁b er w ar na ▁k un ing .
▁we ▁measured ▁the ▁depth ▁of ▁the ▁river .	▁kit a ▁men g uk ur ▁k ed al am an ▁sun g ain ya .
▁you ' re ▁sleepy .	▁k am u ▁n g ant uk .
▁i ▁was ▁caught ▁in ▁a ▁traffic ▁jam .	▁a k u ▁ter je b ak ▁d al am ▁ke m ac et an ▁l al u ▁lin t as .
▁please ▁take ▁your ▁seat .	▁sil ak an ▁d u du k .
▁i ▁feel ▁really ▁relieved .	▁a k u ▁m er asa ▁sang at ▁leg a .
▁tom ▁wiped ▁the ▁table ▁clean .	▁tom ▁men ge l ap ▁me j any a ▁s amp ai ▁b ers i h .
▁i ▁advised ▁tom ▁to ▁stop ▁drinking .	▁a k u ▁men as i hat i ▁tom ▁ag ar ▁b er hent i ▁min um - min um .
▁i ' m ▁too ▁fat .	▁a k u ▁ter l al u ▁g em uk .
▁i ▁was ▁raised ▁in ▁boston .	▁a k u ▁di bes ark an ▁di ▁boston .
▁have ▁you ▁eaten ▁lunch ▁yet ?	▁ap aka h ▁k am u ▁su da h ▁m ak an ?
▁i ' ll ▁stop ▁procrastinating , ▁starting ▁tomorrow .	▁say a ▁a k an ▁b er hent i ▁men un da - n un da ▁m ul ai ▁bes o k .
▁i ▁found ▁somebody .	▁a k u ▁men em uk an ▁s ese or ang .
▁i ▁must ▁go ▁to ▁the ▁toilet .	▁a k u ▁har us ▁per g i ▁ke ▁toilet .
▁it ' s ▁entirely ▁my ▁fault .	▁se l ur u hn ya ▁ad al a h ▁k es al a han k u .
▁that ' s ▁what ▁tom ▁keeps ▁saying .	▁it ul a h ▁y ang ▁ter us ▁di k at ak an ▁tom .
▁that ' s ▁not ▁my ▁concern .	▁it u ▁bu k an ▁ur us ank u .
▁the ▁tree ▁fell ▁down ▁by ▁itself .	▁po h on ▁it u ▁t umb ang ▁den gan ▁send ir in ya .
▁tom ▁wants ▁to ▁go ▁to ▁japan .	▁tom ▁in g in ▁per g i ▁ke ▁j ep ang .
▁is ▁this ▁water ▁drinkable ?	▁ap a ▁air ▁in i ▁b isa ▁d imin um ?
▁tom ▁insisted .	▁tom ▁me m a ks a .
▁keep ▁tom ▁quiet .	▁j ag a ▁ag ar ▁tom ▁t et ap ▁di am .
▁customs ▁officials ▁carried ▁out ▁a ▁full ▁body ▁search ▁on ▁tom .	▁p et ug as ▁bea ▁dan ▁cu k ai ▁me l ak uk an ▁pe mer i ks a an ▁bad an ▁ter ha d ap ▁tom .
▁that ' s ▁tom ' s ▁office .	▁it u ▁k ant or ▁tom .
▁i ▁live ▁in ▁a ▁small ▁house .	▁a k u ▁t ing g al ▁di ▁se bu a h ▁r um a h ▁ke cil .
▁that ' s ▁all ▁tom ▁talks ▁about .	▁it ul a h ▁y ang ▁di b ic ar ak an ▁o le h ▁tom .
▁she ▁has ▁the ▁bad ▁habit ▁of ▁always ▁being ▁late .	▁di a ▁pun ya ▁ke bi asa an ▁bur uk ▁se l al u ▁d at ang ▁ter l am b at .
▁what ▁did ▁you ▁buy ?	▁ap a ▁y ang ▁k am u ▁bel i ?
▁tom ▁is ▁listening .	▁tom ▁s ed ang ▁m end eng ark an .
▁you ▁need ▁to ▁stay ▁positive .	▁k am u ▁har us ▁t et ap ▁pos it if .
▁i ▁want ▁to ▁drink ▁some ▁hot ▁tea .	▁say a ▁in g in ▁min um ▁te h ▁pan as .
▁i ▁wake ▁up ▁every ▁morning ▁before ▁dawn .	▁a k u ▁bang un ▁set i ap ▁p ag i ▁se bel um ▁sub u h .
▁did ▁tom ▁say ▁how ▁he ▁was ▁able ▁to ▁do ▁it ?	▁ap a ▁tom ▁men g at ak an ▁bag a im an a ▁i a ▁b isa ▁me l ak uk an n ya ?
▁i ▁don ' t ▁feel ▁well .	▁a k u ▁s ed ang ▁tid ak ▁en ak ▁bad an
▁tom ▁eats ▁everything ▁that ▁his ▁mother ▁gives ▁him .	▁tom ▁me m ak an ▁se m u a ▁y ang ▁i b un ya ▁b er ik an ▁p ad any a .
▁what ▁do ▁you ▁have ?	▁and a ▁pun ya ▁ap a ?
▁i ▁haven ' t ▁seen ▁him ▁for ▁years .	▁a k u ▁tid ak ▁per na h ▁b ert em u ▁den gan n ya ▁se l ama ▁b ert a h un - ta h un .
▁apples ▁are ▁sold ▁by ▁the ▁dozen .	▁ap el - ap el ▁di j ual ▁per ▁l us in .
▁she ▁sat ▁next ▁to ▁me .	▁di a ▁d u du k ▁di ▁s amp ing k u .
▁your ▁plan ▁sounds ▁great .	▁re n can am u ▁k ed en gar an n ya ▁bag us .
▁i ▁laughed .	▁a k u ▁t ert awa .
▁that ▁doesn ' t ▁sound ▁too ▁difficult .	▁k ed en gar an n ya ▁it u ▁tid ak ▁ter l al u ▁su l it .
▁tom ▁says ▁he ▁knows ▁why ▁you ▁didn ' t ▁win .	▁tom ▁b erk ata ▁di a ▁ta h u ▁men g ap a ▁k am u ▁tid ak ▁men ang
▁i ' ll ▁never ▁forsake ▁you .	▁a k u ▁t ak ▁a k an ▁per na h ▁mening g al k an m u .
▁i ▁will ▁do ▁anything ▁for ▁you .	▁a k u ▁a k an ▁me l ak uk an ▁ap a ▁sa j a ▁unt uk m u .
▁they ▁don ' t ▁talk ▁to ▁me ▁anymore .	▁mere ka ▁tid ak ▁l ag i ▁b er b ic ar a ▁d eng ank u .
▁what ▁time ▁do ▁you ▁usually ▁go ▁to ▁bed ?	▁jam ▁b er ap a ▁bi as any a ▁and a ▁tid ur ?
▁how ▁much ▁did ▁you ▁guys ▁spend ?	▁b er ap a ▁ban y ak ▁y ang ▁k al ian ▁ha b is k an ?
▁is ▁this ▁computer ▁connected ▁to ▁the ▁internet ?	▁ap a ▁k omp uter ▁in i ▁ter h ub ung ▁p ad a ▁internet ?
▁why ▁didn ' t ▁you ▁come ?	▁ken ap a ▁k am u ▁tid ak ▁d at ang ?
▁tom ▁never ▁would ' ve ▁dated ▁someone ▁like ▁mary .	▁tom ▁tid ak ▁a k an ▁per na h ▁b er ken can ▁den gan ▁s ese or ang ▁se p ert i ▁mary .
▁the ▁house ▁is ▁empty .	▁r um a h ▁it u ▁k os ong .
▁i ▁don ' t ▁read ▁the ▁newspapers .	▁a k u ▁tid ak ▁me mb ac a ▁k or an .
▁you ▁can ' t ▁lift ▁the ▁piano .	▁k a u ▁tid ak ▁b isa ▁men g ang k at ▁piano ▁it u .
▁i ▁was ▁bitten ▁by ▁a ▁dog .	▁a k u ▁dig ig it ▁an j ing .
▁my ▁family ▁is ▁a ▁large ▁one .	▁ke l u ar g ak u ▁ad al a h ▁ke l u ar g a ▁bes ar .
▁the ▁snowstorm ▁continued .	▁bad ai ▁sal j u ▁it u ▁b erl an j ut .
▁who ▁told ▁you ▁to ▁do ▁that ?	▁si ap a ▁y ang ▁men y ur u h m u ▁me l ak uk an ▁it u ?
▁do ▁you ▁see ▁this ?	▁ap a ▁k am u ▁me l i hat ▁in i ?
▁i ▁ate ▁three ▁pieces ▁of ▁cake .	▁a k u ▁m ak an ▁tig a ▁pot ong ▁k ue .
▁i ▁came ▁to ▁japan ▁last ▁year .	▁a k u ▁d at ang ▁ke ▁j ep ang ▁ta h un ▁l al u .
▁it ▁stopped ▁snowing ▁an ▁hour ▁ago .	▁sal j un ya ▁b er hent i ▁t ur un ▁se jam ▁y ang ▁l al u .
▁wake ▁me ▁up ▁at ▁eight .	▁bang unk an ▁a k u ▁jam ▁del apan .
▁i ▁think ▁it ' s ▁very ▁dangerous .	▁a k u ▁p ik ir ▁it u ▁sang at ▁b er ba ha ya .
▁the ▁hunter ▁shot ▁a ▁bear .	▁pe mb ur u ▁ter se b ut ▁men em b ak ▁seek or ▁b er u ang .
▁i ▁saw ▁him ▁with ▁my ▁own ▁eyes .	▁a k u ▁me l i hat n ya ▁den gan ▁mat a ▁ke pal ak u ▁send i ri .
▁you ▁have ▁to ▁go .	▁k am u ▁har us ▁per g i .
▁how ▁did ▁you ▁know ▁i ▁was ▁from ▁boston ?	▁ko k ▁k am u ▁ta h u ▁a k u ▁d ar i ▁boston ?
▁she ▁likes ▁short ▁skirts .	▁di a ▁su ka ▁ro k ▁pend ek .
▁i ▁waited ▁for ▁hours .	▁a k u ▁te l a h ▁men un gg u ▁b er jam - jam .
▁is ▁that ▁a ▁castle ?	▁ap aka h ▁it u ▁is tan a ?
▁i ' ve ▁climbed ▁mt . ▁fuji ▁twice .	▁a k u ▁te l a h ▁m end ak i ▁gun ung ▁fuji ▁d u a ▁k al i .
▁have ▁you ▁ever ▁seen ▁a ▁ufo ?	▁ap aka h ▁k am u ▁per na h ▁me l i hat ▁ufo ?
▁i ▁came ▁to ▁this ▁country ▁for ▁the ▁purpose ▁of ▁studying ▁music .	▁say a ▁d at ang ▁ke ▁ne ger i ▁in i ▁unt uk ▁me mp ela j ar i ▁tent ang ▁mus ik .
▁what ' s ▁your ▁hobby ?	▁ap a ▁ho b im u ?
▁why ▁don ' t ▁we ▁hide ▁in ▁the ▁basement ?	▁ken ap a ▁kit a ▁tid ak ▁se mb un y i ▁di ▁l ant ai ▁b awa h ▁t an a h ?
▁the ▁day ▁will ▁soon ▁come ▁when ▁man ▁can ▁travel ▁to ▁mars .	▁a k an ▁se ger a ▁t ib a ▁ha ri ▁k et ik a ▁manus ia ▁b isa ▁per g i ▁ke ▁mars .
▁you ▁shouldn ' t ▁have ▁paid ▁the ▁bill .	▁k am u ▁tid ak ▁se har us n ya ▁me mb ay arn ya .
▁i ' m ▁here ▁to ▁help ▁you , ▁actually .	▁a k u ▁di ▁s in i ▁unt uk ▁me mb antum u ▁se b en arn ya .
▁tom ▁and ▁mary ▁studied ▁together .	▁tom ▁dan ▁mary ▁bel a j ar ▁b ers ama .
▁life ▁is ▁too ▁short .	▁hid up ▁it u ▁ter l al u ▁sing k at .
▁we ▁met ▁in ▁secret .	▁k ami ▁b ert em u ▁sec ar a ▁se mb un y i - semb un y i .
▁we ▁took ▁turns ▁with ▁the ▁driving .	▁k ami ▁men ge m ud i ▁sec ar a ▁b erg ant ian .
▁i ▁can ' t ▁raise ▁my ▁right ▁arm .	▁a k u ▁tid ak ▁b isa ▁men ai k k an ▁len gan ▁k an ank u .
▁what ▁is ▁tom ▁afraid ▁of ?	▁tom ▁t ak ut ▁ap a ?
▁the ▁day ▁after ▁tomorrow ▁is ▁my ▁birthday .	▁l us a ▁ad al a h ▁ha ri ▁ ul ang ▁ta h unk u .
▁i ▁will ▁take ▁both ▁this ▁one ▁and ▁that ▁one .	▁a k u ▁a k an ▁men g am b il ▁baik ▁y ang ▁in i ▁dan ▁y ang ▁it u .
▁tom ▁reached ▁for ▁his ▁cane .	▁tom ▁m era i h ▁to ng k at n ya .
▁how ▁i ' ve ▁missed ▁you !	▁a k u ▁sang at ▁r ind u ▁p ad am u !
▁we ▁were ▁right .	▁kit a ▁ben ar .
▁your ▁shoes ▁are ▁here .	▁se p at um u ▁ad a ▁di ▁s in i .
▁jump !	▁l ompat !
▁i ▁think ▁we ' re ▁being ▁followed .	▁say a ▁r asa ▁kit a ▁s ed ang ▁di ik ut i .
▁tom ▁and ▁mary ▁are ▁inc ompatible .	▁tom ▁dan ▁mary ▁tid ak ▁co co k .
▁tom ▁gladly ▁accepted ▁mary ' s ▁gift .	▁tom ▁den gan ▁sen ang ▁hat i ▁men er ima ▁had ia h ▁d ar i ▁mary .
▁oh , ▁i ' m ▁sorry .	▁oh , ▁ma af .
▁you ' re ▁the ▁prettiest ▁girl ▁in ▁town .	▁k a u ▁ad al a h ▁gad is ▁ter c ant ik ▁di ▁k ot a .
▁i ' m ▁getting ▁hungry .	▁a k u ▁m ul ai ▁l ap ar .
▁who ▁did ▁you ▁give ▁it ▁to ?	▁ke p ad a ▁si ap a ▁k am u ▁member ik an n ya ?
▁do ▁you ▁have ▁a ▁piece ▁of ▁paper ▁i ▁can ▁write ▁on ?	▁ad a ▁k ert as ▁y ang ▁b isa ▁k ut ul is i ?
▁these ▁flowers ▁have ▁died .	▁b ung a - b ung a ▁in i ▁su da h ▁mat i .
▁the ▁balloon ▁will ▁burst .	▁bal on n ya ▁a k an ▁me let us .
▁i ▁whole heartedly ▁agree .	▁say a ▁se pen u hn ya ▁set u j u .
▁the ▁conference ▁is ▁to ▁be ▁held ▁in ▁tokyo .	▁k on feren s in ya ▁a k an ▁di ad ak an ▁di ▁tokyo .
▁it ▁doesn ' t ▁make ▁economic ▁sense .	▁it u ▁tid ak ▁m as uk ▁a k al ▁sec ar a ▁e k onom i .
▁i ' ll ▁send ▁it ▁back .	▁a k u ▁a k an ▁men g ir im n ya ▁ke mb al i .
▁my ▁grandfather ▁died ▁three ▁years ▁ago .	▁k ake k ▁say a ▁mening g al ▁tig a ▁ta h un ▁y ang ▁l al u .
▁i ' m ▁tired ▁of ▁this ▁monotonous ▁life .	▁a k u ▁l ela h ▁den gan ▁hid up ▁y ang ▁mon oton ▁in i .
▁what ▁kind ▁of ▁person ▁do ▁you ▁want ▁to ▁get ▁married ▁to ?	▁den gan ▁orang ▁y ang ▁se p ert i ▁ap a ▁and a ▁in g in ▁men ik a h ?
▁i ▁remember ▁seeing ▁that ▁movie .	▁say a ▁in g at ▁d ul u ▁per na h ▁n ont on ▁film ▁it u
▁the ▁coffee ▁is ▁too ▁strong .	▁k op in ya ▁ter l al u ▁k u at .
▁tom ▁filled ▁the ▁glass ▁with ▁water .	▁tom ▁men g is i ▁g el as ▁den gan ▁air .
▁how ▁much ▁time ▁does ▁the ▁average ▁teenager ▁watch ▁tv ▁every ▁day ?	▁b er ap a ▁ban y ak ▁wa k tu ▁y ang ▁di ha b is k an ▁o le h ▁rem a j a ▁p ad a ▁ um um n ya ▁unt uk ▁me l i hat ▁tv ▁set i ap ▁har in ya ?
▁tom ▁is ▁courteous .	▁tom ▁it u ▁r ama h .
▁i ▁was ▁born ▁on ▁june ▁4, ▁1974.	▁a k u ▁la h ir ▁p ad a ▁t ang g al ▁4 ▁jun i ▁1974.
▁he ' s ▁collecting ▁various ▁data .	▁di a ▁men g ump ul k an ▁b er bag ai ▁data .
▁i ▁bought ▁a ▁new ▁car .	▁a k u ▁me mb el i ▁mo b il ▁bar u .
▁why ▁are ▁you ▁laughing ?	▁ken ap a ▁k am u ▁t ert awa ?
▁you ▁know ▁tom ▁is ▁a ▁friend ▁of ▁mary ' s , ▁don ' t ▁you ?	▁k am u ▁ta h u ▁k al a u ▁tom ▁it u ▁te man n ya ▁mary , ▁k an ?
▁who ' s ▁your ▁teacher ?	▁si ap a ▁g ur um u ?
▁do ▁you ▁want ▁me ▁to ▁do ▁anything ?	▁ad a ▁s es u at u ▁y ang ▁k am u ▁in g in ▁a k u ▁la k uk an ?
▁do ▁you ▁have ▁a ▁horse ?	▁ap aka h ▁k am u ▁pun ya ▁k ud a ?
▁i ▁don ' t ▁drink ▁tea .	▁say a ▁tid ak ▁min um ▁te h .
▁let ' s ▁fly ▁kites .	▁a y o ▁kit a ▁b erm ain ▁lay ang - l ay ang .
▁what ▁you ' re ▁eating ▁isn ' t ▁healthy .	▁y ang ▁k am u ▁m ak an ▁it u ▁tid ak ▁se hat .
